Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"FSB_BNR#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.C2","220","600","5B","[6]"
"FSB_BNR#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1M.U42","810","200","3D","[1]"
"PCI-E_0_RXN_[0:15]","OffPage","07 X48 PCI-X","7","SCHEMATIC1","","290","90","5D","[17]"
"PCI-E_0_RXN_[0:15]","OffPage","17 PCI Express Channel 0","17","SCHEMATIC1","","880","220","3D","[7]"
"FSB_DBI2#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1E.D19","1460","370","1C","[6]"
"FSB_DBI2#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1N.N28","1130","500","2C","[1]"
"FSB_DBI3#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1E.C20","1460","380","1C","[6]"
"FSB_DBI3#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1N.B37","1130","490","2C","[1]"
"FSB_BINIT#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.AD3","220","580","5B","Property Not Present"
"DDR_B_DQ_[0:63]","OffPage","16 DDR3 Channel 1 Slot 1","16","SCHEMATIC1","","540","520","4C","[15,9]"
"DDR_B_DQ_[0:63]","OffPage","15 DDR3 Channel 1 Slot 0","15","SCHEMATIC1","","610","470","4C","[16,9]"
"DDR_B_DQ_[0:63]","OffPage","09 X48 DDR3 Channel 1","9","SCHEMATIC1","","920","180","3D","[15,16]"
"DDR_A_CKE_1","OffPage","13 DDR3 Channel 0 Slot 0","13","SCHEMATIC1","J2B.169","410","820","4A","[8]"
"DDR_A_CKE_1","OffPage","08 X48 DDR3 Channel 0","8","SCHEMATIC1","U1C.AY24","270","560","5B","[13]"
"DDR_A_CKE_2","OffPage","14 DDR3 Channel 0 Slot 1","14","SCHEMATIC1","J3B.50","480","540","4B","[8]"
"DDR_A_CKE_2","OffPage","08 X48 DDR3 Channel 0","8","SCHEMATIC1","U1C.BB25","270","570","5B","[14]"
"DDR_B_CSB_0","OffPage","15 DDR3 Channel 1 Slot 0","15","SCHEMATIC1","J4B.193","440","440","4C","[9]"
"DDR_B_CSB_0","OffPage","09 X48 DDR3 Channel 1","9","SCHEMATIC1","U1F.BA31","640","820","4A","[15]"
"DDR_A_CKE_3","OffPage","14 DDR3 Channel 0 Slot 1","14","SCHEMATIC1","J3B.169","480","530","4C","[8]"
"DDR_A_CKE_3","OffPage","08 X48 DDR3 Channel 0","8","SCHEMATIC1","U1C.BC24","270","580","5B","[14]"
"PCI-E_0_RXP_[0:15]","OffPage","07 X48 PCI-X","7","SCHEMATIC1","","290","260","5C","[17]"
"PCI-E_0_RXP_[0:15]","OffPage","17 PCI Express Channel 0","17","SCHEMATIC1","","880","390","3C","[7]"
"DDR_B_CSB_1","OffPage","15 DDR3 Channel 1 Slot 0","15","SCHEMATIC1","J4B.76","440","430","4C","[9]"
"DDR_B_CSB_1","OffPage","09 X48 DDR3 Channel 1","9","SCHEMATIC1","U1F.BB35","640","810","4A","[15]"
"DDR_B_CSB_2","OffPage","16 DDR3 Channel 1 Slot 1","16","SCHEMATIC1","J5B.193","450","110","4D","[9]"
"DDR_B_CSB_2","OffPage","09 X48 DDR3 Channel 1","9","SCHEMATIC1","U1F.BC32","640","800","4B","[16]"
"DDR_A_CK_0","OffPage","13 DDR3 Channel 0 Slot 0","13","SCHEMATIC1","J2B.184","120","800","5B","[8]"
"DDR_A_CK_0","OffPage","08 X48 DDR3 Channel 0","8","SCHEMATIC1","U1C.AT33","270","600","5B","[13]"
"DDR_B_CSB_3","OffPage","16 DDR3 Channel 1 Slot 1","16","SCHEMATIC1","J5B.76","450","100","4D","[9]"
"DDR_B_CSB_3","OffPage","09 X48 DDR3 Channel 1","9","SCHEMATIC1","U1F.BA35","640","790","4B","[16]"
"DDR_B_CB_0","OffPage","09 X48 DDR3 Channel 1","9","SCHEMATIC1","U1F.AK45","640","770","4B","Property Not Present"
"CPU_ITP_CLK0","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1C.AK3","610","980","4A","Property Not Present"
"DDR_B_CB_1","OffPage","09 X48 DDR3 Channel 1","9","SCHEMATIC1","U1F.AJ44","640","760","4B","Property Not Present"
"DDR_B_CB_2","OffPage","09 X48 DDR3 Channel 1","9","SCHEMATIC1","U1F.AG42","640","750","4B","Property Not Present"
"CPU_ITP_CLK1","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1C.AJ3","610","990","4A","Property Not Present"
"DDR_B_CB_3","OffPage","09 X48 DDR3 Channel 1","9","SCHEMATIC1","U1F.AG40","640","740","4B","Property Not Present"
"DDR_B_CB_4","OffPage","09 X48 DDR3 Channel 1","9","SCHEMATIC1","U1F.AJ42","640","730","4B","Property Not Present"
"DDR_A_CK_1","OffPage","13 DDR3 Channel 0 Slot 0","13","SCHEMATIC1","J2B.63","120","820","5A","[8]"
"DDR_A_CK_1","OffPage","08 X48 DDR3 Channel 0","8","SCHEMATIC1","U1C.AN28","270","610","5B","[13]"
"CPU_BCLK0","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1C.F28","220","980","5A","Property Not Present"
"DDR_B_CB_5","OffPage","09 X48 DDR3 Channel 1","9","SCHEMATIC1","U1F.AK42","640","720","4B","Property Not Present"
"DDR_A_CK_2","OffPage","14 DDR3 Channel 0 Slot 1","14","SCHEMATIC1","J3B.184","190","510","5C","[8]"
"DDR_A_CK_2","OffPage","08 X48 DDR3 Channel 0","8","SCHEMATIC1","U1C.AT34","270","620","5B","[14]"
"DDR_B_CB_6","OffPage","09 X48 DDR3 Channel 1","9","SCHEMATIC1","U1F.AG41","640","710","4B","Property Not Present"
"CPU_BCLK1","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1C.G28","220","990","5A","Property Not Present"
"DDR_B_CB_7","OffPage","09 X48 DDR3 Channel 1","9","SCHEMATIC1","U1F.AG44","640","700","4B","Property Not Present"
"DDR_B_CKB_5","OffPage","09 X48 DDR3 Channel 1","9","SCHEMATIC1","U1F.AY34","250","890","5A","Property Not Present"
"DDR_A_CK_5","OffPage","08 X48 DDR3 Channel 0","8","SCHEMATIC1","U1C.AT35","270","650","5B","Property Not Present"
"FSB_A20M#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1A.K3","200","320","5C","Property Not Present"
"DDR_B_CKB_4","OffPage","09 X48 DDR3 Channel 1","9","SCHEMATIC1","U1F.AY28","250","880","5A","Property Not Present"
"DDR_B_CKB_3","OffPage","16 DDR3 Channel 1 Slot 1","16","SCHEMATIC1","J5B.64","160","170","5D","[9]"
"DDR_B_CKB_3","OffPage","09 X48 DDR3 Channel 1","9","SCHEMATIC1","U1F.AP31","250","870","5A","[16]"
"FSB_AP0#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1A.U2","200","390","5C","Property Not Present"
"DDR_B_CKB_2","OffPage","16 DDR3 Channel 1 Slot 1","16","SCHEMATIC1","J5B.185","160","150","5D","[9]"
